,latin_maxim,translation,description
1235,repetitio est mater studiorum,"""repetition is the mother of study""",
1236,requiescat in pace (R.I.P.),"""let him rest in peace""","Or ""may he rest in peace"". A benediction for the dead. Often inscribed on tombstones or other grave markers. ""RIP"" is commonly mistranslated as ""Rest In Peace"", though the two mean essentially the same thing."
1237,rerum cognoscere causas,"""to learn the causes of things""","Motto of the University of Sheffield, the University of Guelph, and London School of Economics."
1238,res gestae,"""things done""","A phrase used in law representing the belief that certain statements are made naturally, spontaneously and without deliberation during the course of an event, they leave little room for misunderstanding/misinterpretation upon hearing by someone else ( i.e. by the witness who will later repeat the statement to the court) and thus the courts believe that such statements carry a high degree of credibility."
1239,res ipsa loquitur,"""the thing speaks for itself""","A phrase from the common law of torts meaning that negligence can be inferred from the fact that such an accident happened, without proof of exactly how. A clause sometimes (informally) added on to the end of this phrase is sed quid in infernos dicit (""but what the hell does it say?""), which serves as a reminder that one must still interpret the significance of events that ""speak for themselves""."
1240,res judicata,"""judged thing""","A matter which has been decided by a court. Often refers to the legal concept that once a matter has been finally decided by the courts, it cannot be litigated again (cf. non bis in idem and double jeopardy)."
1241,respice adspice prospice,"""look behind, look here, look ahead""","i.e., ""examine the past, the present and future"". Motto of CCNY."
1242,respice finem,"""look back at the end""","i.e., ""have regard for the end"" or ""consider the end"". Generally a memento mori, a warning to remember one's death."
1243,respondeat superior,"""let the superior respond""","Regarded as a legal maxim in agency law, referring to the legal liability of the principal with respect to an employee. Whereas a hired independent contract acting tortiously may not cause the principal to be legally liable, a hired employee acting tortiously will cause the principal (the employer) to be legally liable, even if the employer did nothing wrong."
1244,restitutio in integrum,"""restoration to original condition""",Principle behind the awarding of damages in common law negligence claims
1245,res nullius,"""nobody's property""","Goods without an owner. Used for things or beings which belong to nobody and are up for grabs, e.g., uninhabited and uncolonized lands, wandering wild animals, etc. (cf. terra nullius, ""no man's land"")."
1246,rex regum fidelum et,"""king even of faithful kings""",Latin motto that appears on the crest of the Trinity Broadcasting Network of Paul and Jan Crouch.
1247,rigor mortis,"""stiffness of death""","The rigidity of corpses when chemical reactions cause the limbs to stiffen about 3?4 hours after death. Other signs of death include drop in body temperature (algor mortis, ""cold of death"") and discoloration (livor mortis, ""bluish color of death"")."
1248,"risum teneatis, amici?","""Can you help laughing, friends?""","An ironic or rueful commentary, appended following a fanciful or unbelievable tale."
1249,Roma invicta,"""Unconquerable Rome",Inspirational motto inscribed on the Statue of Rome.
1250,Romanes eunt domus,"""Romanes go the house""","An intentionally garbled Latin phrase from Monty Python's Life of Brian. Its intended meaning is ""Romans, go home!"", but is actually closer to ""'People called Romanes they go the house'"", according to a centurion in the movie. When Brian is caught vandalizing the palace walls with this phrase, rather than punish him, the centurion corrects his Latin grammar, explaining that Romanus is a second declension noun and has its plural in -i rather than -es; that ire or eo (""to go"") must be in the imperative mood to denote a command; and that domus takes the accusative case without a preposition as the object. The final result of this lesson is the correct Latin phrase Romani ite domum."
1251,rosa rubicundior lilio candidior omnibus formosior semper in te glorior,"""redder than the rose, whiter than the lilies","From the Carmina Burana's song ""Si puer cum puellula""."
1252,rus in urbe,"""A countryside in the city""","Generally used to refer to a haven of peace and quiet within an urban setting, often a garden, but can refer to interior decoration."
1253,saltus in demonstrando,"""leap in explaining""","a leap in logic, by which a necessary part of an equation is omitted."
1254,salus in arduis,"""a stronghold (or refuge) in difficulties""","Silver Age maxim, also the school motto of Wellingborough School, an English public school."
1255,salus populi suprema lex esto,"""the welfare of the people is to be the highe","From Cicero's De Legibus, book III, part III, sub. VIII. Quoted by John Locke in his Second Treatise, On Civil Government, to describe the proper organization of government. Also the state motto of Missouri and of Harrow."
1256,salva veritate,"""with truth intact""",Refers to two expressions that can be interchanged without changing the truth-value of the statements in which they occur.
1257,Salvator Mundi,"""Savior of the World""","Christian epithet, usually referring to Jesus. The title of paintings by Albrecht D?rer and Leonardo da Vinci."
1258,salvo errore et omissione (s.e.e.o.),"""save for error and omission""","Appears on statements of ""account currents""."
1259,salvo honoris titulo (SHT),"""save for title of honor""",
1260,Sancta Sedes,"""Holy Chair""","More literally, ""Sacred Seat"". Refers to the Papacy or the Holy See."
1261,Sancta Simplicitas,"""Holy Innocence""","Or ""Sacred Simplicity""."
1262,Sancte Et Sapienter,"""With holiness and with wisdom""","Motto of King's College London. Also ""Sancte Sapienter"" (""holiness, wisdom""), motto of Presbyterian Ladies' College, Sydney and Lauriston Girls' School."
1263,Sanctum Sanctorum,"""Holy of Holies""","referring to a more sacred and/or guarded place, within a lesser guarded, yet also holy location."
1264,sapere aude,"""dare to be wise""","From Horace's Epistularum liber primus, Epistle II, line 40. Popularized by its use in Kant's What is Enlightenment? to define the Enlightenment. Frequently used in mottos, such as for the University of Otago, University of New Brunswick, Phystech, Manchester Grammar School, town of Oldham, and the University of New Zealand before its dissolution. Crompton House School motto, part of the emblem of the school which is worn by all pupils on their uniform during school. Also the name of an Australian Heavy Metal band."
1265,Sapientia et Doctrina,"""Wisdom and Learning""","Motto of Fordham University, New York."
1266,Sapienta et Eloquencia,"""Knowledge and Eloquence""",
1267,sapienti sat,"""enough for the wise""","From Plautus. Indicates that something can be understood without any need for explanation, as long as the listener has enough wisdom or common sense. Often extended to dictum sapienti sat est (""enough has been said for the wise"", commonly translated as ""a word to the wise is enough"")."
1268,Scientia ac Labore,"""Knowledge through [hard] work"" or ""By means ","Motto of the University of Queensland, Brisbane, (1909); and the Merewether High School, Newcastle, New South Wales (1979)."
1269,"scientia, aere perennius","""Knowledge, more lasting than bronze""",Unknown origin.
1270,scientia cum religione,"""Religion and knowledge united""","Motto of St Vincent's College, Potts Point."
1271,Scientia imperii decus et tutamen,"""Knowledge is the adornment and safeguard of ","Motto of Imperial College, London."
1272,scientia vincere tenebras,"""Conquering darkness by science""","Motto of the Vrije Universiteit Brussel and the Universit? Libre de Bruxelles, two universities located in Brussels, Belgium."
1273,scientia ipsa potentia est,"""For also knowledge itself is power""","Stated originally by Sir Francis Bacon in Meditationes Sacrae (1597), which in modern times is often paraphrased as ""knowledge is power."""
1274,scio,"""I know""",
1275,scire quod sciendum,"""knowledge which is worth having""","The motto of now defunct publisher Small, Maynard & Company"
1276,scribimus indocti doctique poemata passim,"""Each desperate blockhead dares to write""","as translated by Philip Francis. From Horace, Epistularum liber secundus (1, 117)14 and quoted in Fielding's Tom Jones; lit: ""Learned or not, we shall write poems without distinction"""
1277,scuto amoris divini,"""by the shield of God's love""",The motto of Skidmore College
1278,seculo seculorum,"""Forever and Ever""","in seculo seculorum, amen. End of Pater Noster"
1279,"Sed ipse Spiritus postulat pro nobis, gemitibus inenarrabilibus","""But the same Spirit intercedes incessantly f",Romans 8:26
1280,sedes apostolica,"""apostolic chair""",Synonymous with Sancta Sedes.
1281,sedes incertae,seat (i.e. location) uncertain,Used in biological classification to indicate that there is no agreement as to which higher order grouping a taxon should be placed into. Abbreviated sed. incert.
1282,sede vacante,"""with the seat being vacant""","The ""seat"" is the Holy See, and the vacancy refers to the interregnum between two popes."
1283,Semper ad meliora,"""always towards better things""",Motto of Ravenswood School for Girls and Etobicoke Collegiate Institute.
1284,semper eadem,"""always the same""","personal motto of Elizabeth I, appears above her royal coat of arms."
1285,semper excelsius,"""always higher""",Motto of the K.A.V. Lovania Leuven.
1286,semper fidelis,"""always faithful""",Motto of Exeter and several other cities; more recently has become the motto of United States Marine Corps and the Swiss Grenadiers. Also the motto of the Rot-Weiss Oberhausen and Plymouth Argyle football clubs. The US Marines often abbreviate it to Semper Fi.
1287,semper fortis,"""always courageous""",Motto of the United States Navys' Submarine Service.
1288,semper instans,"""always threatening""",Motto of 846 NACS Royal Navy.
1289,semper invicta,"""always invincible""",Motto of Warsaw.
1290,semper liber,"""always free""","Motto of the city of Victoria, British Columbia."
1291,semper paratus,"""always prepared""","Motto of the United States Coast Guard, the United States Cavalry's 12th Regiment, The Essex and Kent Scottish Regiment, and the Royal Hamilton Light Infantry (Wentworth Regiment)"
1292,semper primus,"""always first""",Motto of Charlie Company VTCC and One Squadron Royal Australian Corps of Transport
1293,semper reformanda,"""always being reformed""","A phrase deriving from the Nadere Reformatie movement in the seventeenth century Dutch Reformed Church and widely but informally used in Reformed and Presbyterian churches today. It refers to the conviction of certain Reformed Protestant theologians that the church must continually re-examine itself in order to maintain its purity of doctrine and practice. The term first appeared in print in Jodocus van Lodenstein, Beschouwinge van Zion (""Contemplation of Zion""), Amsterdam, 1674.15"
1294,semper ubi sub ubi,"""always where under where""","A common English-New Latin translation joke. The phrase is nonsensical in Latin, but the English translation is a pun on ""always wear underwear""."
1295,semper vigilans,"""always vigilant""",Motto of the Civil Air Patrol (United States Air Force Auxiliary).
1296,semper vigilo,"""always vigilant""","The motto of Scottish Police Forces, Scotland."
1297,Senatus Populusque Romanus (SPQR),"""The Senate and the People of Rome""","The official name of the Roman Republic. ""SPQR"" was carried on battle standards by the Roman legions. In addition to being an ancient Roman motto, it remains the motto of the modern city of Rome."
1298,sensu lato,"""with the broad, or general, meaning""","Less literally, ""in the wide sense""."
1299,sensu stricto cf. stricto sensu,"""with the tight meaning""","Less literally, ""in the strict sense""."
1300,Serviam,"""I will serve""","The answer of St. Michael the Archangel to the Non serviam, ""I will not serve"" of Satan, when the angels were tested by God on whether they will serve an inferior being, a man, Jesus, as their Lord."
1301,Servo Permaneo Bovis Provestri,"""Save the Last Bullet for Yourself""","Meaning ""After giving it everything you've got against the enemy, save the last effort to save yourself""."
1302,servus servorum Dei,"""servant of the servants of God""",A title for the pope.
1303,sesquipedalia verba,"""words a foot and a half long""","From Horace's Ars Poetica, ""proicit ampullas et sesquipedalia verba"" (""he throws down his high-flown language and his foot-and-a-half-long words""). A self-referential jab at long words and needlessly elaborate language in general."
1304,Si hoc legere scis nimium eruditionis habes,"""If you can read this, you have too much educ",
1305,si omnes... ego non,"""if all ones... not I""",
1306,si peccasse negamus fallimur et nulla est in nobis veritas,"""if we refuse to make a mistake, we are decei","From Christopher Marlowe's The Tragical History of Doctor Faustus, where the phrase is translated ""if we say that we have no sin, we deceive ourselves, and there's no truth in us""."
1307,"si quid novisti rectius istis, candidus imperti; si nil, his utere mecum.","""if you can better these principles, tell me;","Horace, Epistles I:6, 67?68"
1308,si quaeris peninsulam amoenam circumspice,"""if you seek a delightful peninsula, look aro","State motto of Michigan, adopted in 1835. Said to have been based on the tribute to architect Christopher Wren in St Paul's Cathedral, London, which reads si monumentum requiris circumspice (""if you seek a memorial, look around"")."
1309,"si tacuisses, philosophus mansisses ","""If you had kept your silence, you would have","This quote is often attributed to the Latin philosopher Boethius of the late fifth and early sixth centuries. It translates literally as, ""If you had been silent, you would have remained a philosopher."" The phrase illustrates a common use of the subjunctive verb mood. Among other functions it expresses actions contrary to fact. Sir Humphrey Appleby translated it to the PM as: ""If you'd kept your mouth shut we might have thought you were clever""."
1310,si vales valeo (SVV),"""if you are well, I am well""","A common beginning for ancient Roman letters. Also extended to si vales bene est ego valeo (""if you are well, that is good; I am well""), abbreviated to SVBEEV. The practice fell out of fashion and into obscurity with the decline in Latin literacy."
1311,si vis amari ama,"""If you want to be loved, love""",This quote is often attributed to the Roman philosopher Seneca.
1312,si vis pacem para bellum,"""if you want peace, prepare for war""","From Publius Flavius Vegetius Renatus, Epitoma rei militaris. Origin of the name parabellum for some ammunition and firearms, such as the Luger parabellum. (See also in this list Igitur qui desiderat pacem, praeparet bellum)"
1313,sic,"""thus""","Or ""just so"". States that the preceding quoted material appears exactly that way in the source, despite any errors of spelling, grammar, usage, or fact that may be present. Used only for previous quoted text; ita or similar must be used to mean ""thus"" when referring to something about to be stated."
1314,sic et non,"""thus and not""","More simply, ""yes and no""."
1315,sic gorgiamus allos subjectatos nunc,"""we gladly feast on those who would subdue us",Mock-Latin motto of The Addams Family.
1316,sic infit,"""so it begins""",
1317,sic itur ad astra,"""thus you shall go to the stars""","From Virgil, Aeneid book IX, line 641. Possibly the source of the ad astra phrases. Motto of Lord Williams's School.Motto of the Colombian Air Force."
1318,sic passim,"""Thus here and there""",Used when referencing books; see passim.
1319,"sic semper erat, et sic semper erit","""Thus has it always been, and thus shall it e",
1320,sic semper tyrannis,"""thus always to tyrants""","State motto of Virginia, adopted in 1776. Attributed to Brutus at the time of Julius Caesar's assassination, and to John Wilkes Booth at the time of Abraham Lincoln's assassination; whether it was actually said at either of these events is disputed. Shorter version from original sic semper evello mortem tyrannis (""thus always death will come to tyrants"")."
1321,sic transit gloria mundi,"""thus passes the glory of the world""","A reminder that all things are fleeting. During Papal Coronations, a monk reminds the pope of his mortality by saying this phrase, preceded by pater sancte (""holy father"") while holding before his eyes a burning paper illustrating the passing nature of earthly glories. This is similar to the tradition of a slave in Roman triumphs whispering ""memento mori""."
1322,sic utere tuo ut alienum non laedas,"""use [what is] yours so as not to harm [what ","Or ""use your property in such a way that you do not damage others'"". A legal maxim related to property ownership laws, often shortened to simply sic utere (""use it thus"")."
1323,sic vita est,"""thus is life""","Or ""such is life"". Indicates that a circumstance, whether good or bad, is an inherent aspect of living."
1324,signetur (sig) or (S/),"""let it be labeled""",Medical shorthand
1325,Signum Fidei,"""Sign of the Faith""","Motto of the Institute of the Brothers of the Christian Schools, founded by St. John Baptist de la Salle."
1326,silentium est aureum,"""silence is golden""","Latinization of the English expression ""silence is golden"". Also Latinized as silentium est aurum (""silence is gold"")."
1327,similia similibus curantur,"""similar things take care of similar things""","Or ""like cures like"". Said by Samuel Hahnemann, founder of homeopathy."
1328,simplex sigillum veri,"""simplicity is the sign of truth""","A more refined statement of Keep It Simple, Stupid"
1329,sine anno (s.a.),"""without a year""",Used in bibliographies to indicate that the date of publication of a document is unknown.
1330,sine die,"""without a day""","Originally from old common law texts, where it indicates that a final, dispositive order has been made in the case. In modern legal context, it means there is nothing left for the court to do, so no date for further proceedings is set."
1331,sine ira et studio,"""without anger and fondness""","Thus, impartially. From Tacitus, Annals 1.1."
1332,sine loco (s.l.),"""without a place""",Used in bibliographies to indicate that the place of publication of a document is unknown.
1333,sine nomine (s.n.),"""without a name""",Used in bibliographies to indicate that the publisher of a document is unknown.
1334,sine qua non,"""without which not""",Used to denote something that is an essential part of the whole. See also condicio sine qua non.
1335,sine remediis medicina debilis est,"""without remedies medicine is powerless""",Inscription on the stained-glass in the conference hall of pharmaceutical mill in Kaunas
1336,sine scientia ars nihil est,"""without knowledge, skill is nothing""",
1337,sisto activitatem,"""I cease the activity""","Phrase, used to cease the activities of Sejm upon the liberum veto principle"
1338,sit sine labe decus,"""let honour stainless be""","Motto of the Brisbane Boys' College (Brisbane, Australia)."
1339,sit tibi terra levis,"""may the earth be light to you""","Commonly used on gravestones, oftenly contracted as S.T.T.L., the same way as today's R.I.P."
1340,sit venia verbo,"""may there be forgiveness for the word""","Similar to the English idiom ""pardon my French""."
1341,Sol Iustitiae Illustra Nos,"""Sun of Justice, shine upon us""",Motto of Utrecht University
1342,sol lucet omnibus,"""the sun shines on everyone"", Petronius, Saty",
1343,sol omnia regit,"""the sun rules over everything""",Inscription near the entrance to Frombork Museum
1344,sola fide,"""by faith alone""","The material principle of the Protestant Reformation and one of the five solas, referring to the Protestant claim that the Bible teaches that men are saved by faith even without works."
1345,sola gratia,"""by grace alone""","A motto of the Protestant Reformation and one of the five solas, referring to the Protestant claim that salvation is an unearned gift (cf. ex gratia), not a direct result of merit."
1346,Sola lingua bona est lingua mortua,"""the only good language is a dead language""",Example of dog Latin humor.
1347,sola scriptura,"""by scripture alone""","The formal principle of the Protestant Reformation and one of the five solas, referring to the Protestant idea that the Bible alone is the ultimate authority, not the pope or tradition."
1348,Sola nobilitat virtus,"""Virtue alone ennobles""","Waverley college high school motto, referring to the idea that it is not title nor wealth that makes one noble but their virtue."
1349,soli Deo gloria (S.D.G.),"""glory to God alone""","A motto of the Protestant Reformation and one of the five solas, referring to the idea that God is the creator of all good things and deserves all the praise for them. Johann Sebastian Bach often signed his manuscripts with the abbreviation S.D.G. to invoke this phrase, as well as with AMDG (ad maiorem Dei gloriam)."
1350,solus Christus,"""Christ alone""","A motto of the Protestant Reformation and one of the five solas, referring to the Protestant claim that the Bible teaches that Jesus is the only mediator between God and mankind. Also rendered solo Christo (""by Christ alone"")."
1351,solus ipse,"""I alone""",
1352,solvitur ambulando,"""It is solved by walking""","The problem is solved by taking a walk, or by simple experiment."
1353,Spartam nactus es; hanc exorna,"""your lot is cast in Sparta, be a credit to i","from Euripides's Telephus, Agamemnon to Menelaus.16"
1354,specialia generalibus derogant,"""special departs from general""",
1355,speculum speculorum,"""mirror of mirrors""",
1356,spem reduxit,"""he has restored hope""",Motto of New Brunswick.
1357,spiritus mundi,"""spirit of the world""","From The Second Coming (poem) by William Butler Yeats. Refers to Yeats' belief that each human mind is linked to a single vast intelligence, and that this intelligence causes certain universal symbols to appear in individual minds. The idea is similar to Carl Jung's concept of the collective unconscious."
1358,spiritus ubi vult spirat,"""the spirit spreads wherever it wants""","Refers to The Gospel of Saint John 3:8, where he mentions how Jesus told Nicodemus ""The wind blows wherever it wants, and even though you can hear its noise, you don't know where it comes from or where it goes. The same thing happens to whomever has been born of the Spirit"". It is the motto of Cayetano Heredia University17"
1359,splendor sine occasu,"""brightness without setting""","Loosely ""splendour without diminishment"" or ""magnificence without ruin"". Motto of British Columbia."
1360,stamus contra malo,"""we stand against by evil""","The motto of the Jungle Patrol in The Phantom. The phrase actually violates Latin grammar because of a mistranslation from English, as the preposition contra takes the accusative case. The correct Latin rendering of ""we stand against evil"" would be ""stamus contra malum""."
1361,stante pede,"""with a standing foot""","""Immediately""."
1362,stare decisis,"""to stand by the decided things""","To uphold previous rulings, recognize precedent."
1363,Stat sua cuique dies,"""There is a day [turn] for everybody""","Virgil, Aeneid, X 467"
1364,statim (stat),"""immediately""",Medical shorthand used following an urgent request.
1365,status quo,"""the situation in which""","The current condition or situation. Also status quo ante (""the situation in which [things were] before""), referring to the state of affairs prior to some upsetting event (cf. reset button technique)."
1366,status quo ante bellum,"""the state before the war""",A common term in peace treaties.
1367,stercus accidit,"""shit happens""",Attributed to David Hume.
1368,stet,"""let it stand""",Marginal mark in proofreading to indicate that something previously deleted or marked for deletion should be retained.
1369,stet fortuna domus,"""let the fortune of the house stand""","First part of the motto of Harrow School,England."
1370,stipendium peccati mors est,"""the reward of sin is death""","From Christopher Marlowe's The Tragical History of Doctor Faustus. (See Rom 6:23, ""For the wages of sin is death, but the free gift of God is eternal life in Christ Jesus our Lord."")"
1371,strenuis ardus cedunt,"""the heights yield to endeavour""","Motto on the coat of arms of the University of Southampton, England."
1372,stricto sensucf. sensu stricto,"""with the tight meaning""","Less literally, ""in the strict sense""."
1373,stupor mundi,"""the wonder of the world""","The title by which Frederick II, Holy Roman Emperor, was known. More literally translated ""the bewilderment of the world"", or, in its original, pre-Medieval sense, ""the stupidity of the world""."
1374,sua sponte,"""by its own accord""","Motto of the U.S. Army Rangers. Also a legal term when a court takes up a motion on its own initiative, not because any of the parties to the case has made the motion."
1375,sub anno,"""under the year""","Commonly abbreviated sa, it is used in citing annals, which record events by year."
1376,Sub Cruce Lumen,"""The Light Under the Cross""","Motto of the University of Adelaide, Australia. Refers to the figurative ""light of learning"" and the Southern Cross constellation, Crux."
1377,sub divo,"""under the wide open sky""","Also, ""under the sky"", ""in the open air"", ""out in the open"" or ""outdoors"". Divus, divi, means god or sky."
1378,sub finem,"""toward the end""","Used in citations to refer to the end of a book, page, etc., and abbreviated 's.f.' Used after the page number or title. E.g., 'p. 20 s.f. '"
1379,sub judice,"""under a judge""",Said of a case that cannot be publicly discussed until it is finished. Also sub iudice.
1380,sub poena,"""under penalty""","Commonly rendered subpoena. Said of a request, usually by a court, that must be complied with on pain of punishment. Examples include subpoena duces tecum (""take with you under penalty""), a court summons to appear and produce tangible evidence, and subpoena ad testificandum (""under penalty to testify""), a summons to appear and give oral testimony."
1381,sub rosa,"""under the rose""","""In secret"", ""privately"", ""confidentially"" or ""covertly"". In the Middle Ages, a rose was suspended from the ceiling of a council chamber to indicate that what was said in the ""under the rose"" was not to be repeated outside. This practice originates in Greek mythology, where Aphrodite gave a rose to her son Eros, and he, in turn, gave it to Harpocrates, the god of silence, to ensure that his mother's indiscretions?or those of the gods in general, in other accounts?were kept under wraps."
1382,sub specie aeternitatis,"""under the sight of eternity""","Thus, ""from eternity's point of view"". From Spinoza, Ethics."
1383,Sub tuum praesidium,"""Beneath thy compassion""","Name of the oldest extant hymn to the Theotokos (Blessed Virgin Mary). Also ""under your protection"". A popular school motto."
1384,Sub umbra floreo,"""Under the shade I flourish""","National Motto of Belize, referring to the shade of the mahogany tree."
1385,sub verbo; sub voce,,"Under the word or heading, as in a dictionary; abbreviated s.v."
1386,sublimis ab unda,"""Raised from the waves""","Motto of King Edward VII and Queen Mary School, Lytham"
1387,subsiste sermonem statim,"""stop speaking immediately""",
1388,sui generis,"""Of its own kind""",In a class of its own.
1389,sui iuris,"""Of one's own right""",Capable of responsibility. Has both legal and ecclesiastical use. Commonly rendered sui juris.
1390,sum quod eris,"""I am what you will be""","A gravestone inscription to remind the reader of the inevitability of death (cf. memento mori). Also rendered fui quod sis (""I have been what you are"") and tu fui ego eris (""I have been you, you will be I"")."
1391,sum quod sum,"""I am what I am""",from Augustine's Sermon No. 7618; also a 2-part episode in the webcomic Heroes.
1392,summa cum laude,"""with highest praise""",
1393,summa summarum,"""all in all""","Literally ""sum of sums"". When a short conclusion is rounded up at the end of some elaboration."
1394,summum bonum,"""the supreme good""","Literally ""highest good"". Also summum malum (""the supreme evil"")."
1395,sunt lacrimae rerum,"""there are tears for things""","From Virgil, Aeneid. Followed by et mentem mortalia tangunt (""and mortal things touch my mind""). Aeneas cries as he sees Carthaginian temple murals depicting the deaths of the Trojan War. See also hinc illae lacrimae."
1396,sunt omnes unum,"""they are all one""",
1397,"sunt pueri pueri, pueri puerilia tractant","""Children are children, and children do child",anonymous proverb
1398,suo jure,"""in one's own right""","Used in the context of titles of nobility, for instance where a wife may hold a title in her own right rather than through her marriage."
1399,suo motu,"""upon one's own initiative""","Also rendered suo moto. Usually used when a court of law, upon its own initiative, (i.e., no petition has been filed) proceeds against a person or authority that it deems has committed an illegal act. It is used chiefly in South Asia."
1400,suos cultores scientia coronat,"""Knowledge crowns those who seek Her""","The motto of Syracuse University, New York."
1401,super fornicam,"""on the lavatory""","Where Thomas More accused the reformer, Martin Luther, of going to celebrate Mass."
1402,supero omnia,"""I surpass everything""",A declaration that one succeeds above all others.
1403,surdo oppedere,"""to belch before the deaf""",From Erasmus' collection of annotated Adagia (1508): a useless action.
1404,surgam,"""I shall rise""",Motto of Columbia University's Philolexian Society.
1405,suum cuique tribuere,"""to render to every man his due""","One of Justinian I's three basic precepts of law. Also shortened to suum cuique (""to each his own"")."
1406,s.v.,,Abbreviation for sub voce or Sub verbo (see above).
1407,tabula rasa,"""scraped tablet""","Thus, ""blank slate"". Romans used to write on wax-covered wooden tablets, which were erased by scraping with the flat end of the stylus. John Locke used the term to describe the human mind at birth, before it had acquired any knowledge."
1408,tabula gratulatoria,"""congratulatory tablet""",A list of congratulations.
1409,talis qualis,"""just as such""","""Such as it is"" or ""as such""."
1410,taliter qualiter,"""somewhat""",
1411,technica impendi nationi,"""Technology impulses nations""",Motto of Polytechnical University of Madrid
1412,temet nosce,"""know thyself""","Recently used by a character, The Oracle, in the Wachowski Brothers' 1999 film The Matrix."
1413,Tempora Heroica,"""Heroic Age""","Literally ""Heroic Times"". Refers to the period of time between the mythological Titanomachy and the (relatively) historical Trojan War."
1414,tempora mutantur et nos mutamur in illis,"""the times are changing, and we change in the","Variant of omnia mutantur et nos mutamur in illis, attributed to Lothar I. See entry for details."
1415,tempus edax rerum,"""time, devourer of all things""","Also ""time, that devours all things"", or more literally, ""time, devouring of things"". From Ovid."
1416,tempus fugit,"""time flees""","Commonly mistranslated as ""time flies"" due to the similar phrase tempus volat hora fugit (""time flies, the hour flees"")."
1417,tempus rerum imperator,"""time, commander of all things""",
1418,tempus vernum,"""spring time""",Name of song by popular Irish singer Enya
1419,tempus volat hora fugit,"""time flies, the hour flees""","Or ""time speeds while the hour escapes""."
1420,Tentanda Via,The way must be tried,motto for York University
1421,teneo te Africa,"""I hold you, Africa!""","Suetonius attributes this to Julius Caesar, from when Caesar was on the African coast."
1422,ter in die (t.i.d.),"""thrice in a day""","Medical shorthand for ""three times a day""."
1423,Terminat hora diem; terminat auctor opus.,"""The hour finishes the day; the author finish",A latin phrase concluding Christopher Marlowe's play Doctor Faustus.19
1424,terminus ante quem,"""limit before which""","In archaeology or history, refers to the date before which an artifact or feature must have been deposited. Used with terminus post quem (""limit after which""). Similarly, terminus ad quem (""limit to which"") may also refer to the latest possible date of a non-punctual event (period, era, etc.), while terminus a quo (""limit from which"") may refer to the earliest such date."
1425,terra australis incognita,"""unknown southern land""",First name used to refer to the Australian continent.
1426,terra firma,"""solid land""",Often used to refer to the ground.
1427,terra incognita,"""unknown land""",
1428,terra nova,"""new land""","Also Latin name of Newfoundland (island portion of Canadian province of Newfoundland and Labrador, capital- St. John's), also root of French name of same, Terre-Neuve"
1429,terra nullius,"""land of none""","That is, no man's land. A neutral or uninhabited area, or a land not under the sovereignty of any recognized political entity."
1430,terras irradient,"""let them illuminate the lands""","Or ""let them give light to the world"". An allusion to Isaiah 6.3: plena est omnis terra gloria eius (""the whole earth is full of his glory""). Sometimes mistranslated as ""they will illuminate the lands"" based on mistaking irradiare for a future indicative third-conjugation verb, whereas it is actually a present subjunctive first-conjugation verb. Motto of Amherst College; the college's original mission was to educate young men to serve God."
1431,tertium non datur,"""a third is not given""","A logical axiom that a claim is either true or false, with no third option."
1432,tertium quid,"""a third something""",1. Something that cannot be classified into either of two groups considered exhaustive; an intermediate thing or factor. 2. A third person or thing of indeterminate character.
1433,"testis unus, testis nullus","""one witness is not a witness""",A law principle expressing that a single witness is not enough to corroborate a story.
1434,timeo Danaos et dona ferentes,"""I fear Greeks even if they bring gifts""","Danaos being a term for the Greeks. In Virgil's Aeneid, II, 49, the phrase is said by Laoco?n when warning his fellow Trojans against accepting the Trojan Horse. The full original quote is quidquid id est timeo Danaos et dona ferentis, quidquid id est meaning ""whatever it is"" and ferentis being an archaic form of ferentes. Commonly mistranslated ""Beware of Greeks bearing gifts""."
1435,timidi mater non flet,"""A coward's mother does not weep""",A Latin proverb. Occasionally appears on loading screens in the game Rome: Total War.
1436,timor mortis conturbat me,"""the fear of death confounds me""","A Latin refrain originating in the response to the seventh lesson in the Office of the Dead. In the Middle Ages, this service was read each day by clerics. As a refrain, it appears also in other poems and can frequently be found inscribed on tombs."
1437,Totus Tuus,"""totally yours""",This Latin phrase represents the desire to offer ones life in total commitment to another. The motto was adopted by Pope John Paul II to signify his love and servitude to Mary the Mother of Jesus.
1438,translatio imperii,"""transfer of rule""",Used to express the belief in the transfer of imperial authority from the Roman Empire of antiquity to the Medieval Holy Roman Empire.
1439,Treuga Dei,"""Truce of God""",A decree by the medieval Church that all feuds should be cancelled during the Sabbath?effectively from Wednesday or Thursday night until Monday. See also Peace and Truce of God.
1440,tu autem,"""you indeed""","Also ""even you"" or ""yes, you"", in response to a person's belief that he will never die. A memento mori epitaph."
1441,tu autem domine miserere nobis,"""But Thou, O Lord, have mercy upon us""",Phrase said at the end of biblical readings in the liturgy of the medieval church.
1442,tu fui ego eris,"""I was you; you will be me""","Thus, ""what you are, I was; what I am, you will be."". A memento mori gravestone inscription to remind the reader that death is unavoidable (cf. sum quod eris)."
1443,"tu ne cede malis, sed contra audentior ito","""you should not give in to evils, but proceed","From Virgil, Aeneid, 6, 95."
